가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
구마2길,34.945314,127.687578,34.945307,127.688902,느티,25,0.1,,푸른잎들이 우거지는 시원한 거리,구마2길,시도,주공2차~무등파크,,,2021-03-17,4840000,전라남도 광양시
구마4길,34.94778041,127.6883404,34.94742873,127.6891612,느티,24,0.088,,푸른잎들이 우거지는 시원한 거리,구마4길,시도,서현인테리어~백운고등학교,,,2021-03-17,4840000,전라남도 광양시
구마5길,34.94869967,127.6875681,34.94815743,127.689805,느티,11,0.044,,푸른잎들이 우거지는 시원한 거리,구마5길,시도,미식가식당~삼성철물,,,2021-03-17,4840000,전라남도 광양시
구마7길,34.94798668,127.6889223,34.94858175,127.6892885,느티,14,0.072,,푸른잎들이 우거지는 시원한 거리,구마7길,시도,일진로공업㈜~중동노래연습장,,,2021-03-17,4840000,전라남도 광양시
등논2길,34.95212162,127.696051,34.95212148,127.6976466,느티,35,0.144,,푸른잎들이 우거지는 시원한 거리,등논2길,시도,무궁화유치원~광양빛교회,,,2021-03-17,4840000,전라남도 광양시
등논4길,34.95035074,127.6967832,34.95208129,127.6967978,느티,29,0.156,,푸른잎들이 우거지는 시원한 거리,등논4길,시도,등논2길경계~중마로경계,,,2021-03-17,4840000,전라남도 광양시
마장길,37.01525455,126.8787136,37.01654423,126.879824,느티,43,0.16,,푸른잎들이 우거지는 시원한 거리,마장길,시도,주공아파트상가~새동산교회,,,2021-03-17,4840000,전라남도 광양시
향남보행자D,37.127778,126.919167,37.128333,126.918889,메타세콰이어,11,0.1,,메타세콰이어,향남보행자D,,향남보행자D,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
향남보행자E,37.127778,126.921667,37.12549483,126.922778,느티나무,13,0.1,,느티나무,향남보행자E,,향남보행자E,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
향남보행자F,37.126944,126.925556,37.127003,126.925597,느티나무,5,0.1,,느티나무,향남보행자F,,향남보행자F,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
향남보행자G,37.128333,126.927778,37.128533,126.927858,느티나무,17,0.2,,느티나무,향남보행자G,,향남보행자G,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
성불로,34.992326,127.587027,35.079717,127.565273,배롱,1497,1.289,,초록으로만 우거진 거리를 배롱꽃으로 아름다워진거리,성불로,지방도,지곡리~성불산장주차장,,,2021-03-17,4840000,전라남도 광양시
도솔로,35.015337,127.592692,35.035552,127.591402,벚,540,1.1,,봄이면 양옆으로 날리는 눈꽃이 아름다운 거리,도솔로,시도,저곡마을주변~봉강경계,,,2021-03-17,4840000,전라남도 광양시
백계로,35.029024,127.611737,35.034553,127.609367,은행,64,0.204,,가을이면 노랗게 물들어가는 단풍잎거리가 아름다움,백계로,지방도,서울대연습림주변~,,,2021-03-17,4840000,전라남도 광양시
백계로,35.045185,127.599242,35.051354,127.598575,이팝,66,0.32,,산속의거리를 이팝나무가 더 포근하게 만들어준거리,백계로,지방도,양산마을입구~백운산자연휴양림입구,,,2021-03-17,4840000,전라남도 광양시
도솔로,35.015245,127.593144,35.044918,127.594845,벚+느티,252,1.048,,봄이면 하얀꽃들로 아름다운 거리 조성,도솔로,시도,봉강경계~양산마을입구,,,2021-03-17,4840000,전라남도 광양시
신재로,35.062221,127.622642,35.102098,127.597169,벚+느티+이팝,891,5.56,,봄이면 하얀꽃들로 아름다운 거리 조성,신재로,시도,동동마을~논실마을,,,2021-03-17,4840000,전라남도 광양시
강변로,34.981256,127.711917,34.973749,127.725397,먼+은행,448,1.058,,봄과 가을이면 노랗게 물들어가는 단풍잎거리가 아름다움,강변로,지방도,테보텍~신금배수장,,,2021-03-17,4840000,전라남도 광양시
신금산단2길,34.973018,127.725611,34.969182,127.724817,먼,38,0.7,,양쪽으로 푸른잎과 작은 열매들로 깔끔한 거리를 조성,신금산단2길,시도,대아엠~하수처리장,,,2021-03-17,4840000,전라남도 광양시
신금산단3길,34.975861,127.721846,34.972504,127.719583,먼+이팝,257,0.5,,양쪽으로 푸른잎과 작은 열매들로 깔끔한 거리를 조성,신금산단3길,시도,피피에스~신명,,,2021-03-17,4840000,전라남도 광양시
신금산단4길,34.977775,127.718238,34.974973,127.716505,먼,75,0.41,,양쪽으로 푸른잎과 작은 열매들로 깔끔한 거리를 조성,신금산단4길,시도,금양엔지니어링~한국고벨호이스트,,,2021-03-17,4840000,전라남도 광양시
신금산단5길,34.979414,127.714649,34.972469,127.725328,먼,291,1.4,,양쪽으로 푸른잎과 작은 열매들로 깔끔한 거리를 조성,신금산단5길,시도,성원테크~반석스틸,,,2021-03-17,4840000,전라남도 광양시
갈티로,34.969022,127.566954,34.964625,127.565628,느티,107,0.452,,봄이되면 푸른잎들로 시원함을 선사하는거리,갈티로,시도,감미식당~종합가구,,,2021-03-17,4840000,전라남도 광양시
옹기길,34.964628,127.573625,34.962343,127.574539,은행,50,0.206,,가을이면 노랗게 물들어가는 단풍잎거리가 아름다움,옹기길,시도,장애인복지관~조계하우스,,,2021-03-17,4840000,전라남도 광양시
대학로,34.962151,127.571223,34.956563,127.567361,먼+이팝,166,0.524,,작은 열매와 푸른잎들이 깔끔함을 선사하는거리,대학로,시도,예구마을입구~한려대학교,,,2021-03-17,4840000,전라남도 광양시
용강로,34.976446,127.606713,34.970331,127.607512,이팝,169,0.544,,작은 꽃들이 어린아이들을 보는듯 귀여운거리,용강로,시도,기두마을~창덕에버빌,,,2021-03-17,4840000,전라남도 광양시
용강1길,34.977579,127.609054,34.973804,127.608676,가시,91,0.212,,싱그러움을 전해주는거리,용강1길,시도,창덕에버빌~임마누엘교회,,,2021-03-17,4840000,전라남도 광양시
용강2길,34.976081,127.609328,34.975451,127.607691,가시,30,0.128,,싱그러움을 전해주는거리,용강2길,시도,나실인교회~기두마을,,,2021-03-17,4840000,전라남도 광양시
기두2길,34.975833,127.604957,34.974052,127.605951,벚,31,0.132,,봄이면 성인 아이 모두 아름다움을 만끽할수있는거리,기두2길,시도,기두마을~창덕에버빌,,,2021-03-17,4840000,전라남도 광양시
기두5길,34.973997,127.606093,34.974367,127.607541,벚,29,0.124,,봄이면 성인 아이 모두 아름다움을 만끽할수있는거리,기두5길,시도,기두마을~창덕에버빌,,,2021-03-17,4840000,전라남도 광양시
와룡길,34.971055,127.608765,34.969914,127.611566,벚,48,0.142,,봄이면 성인 아이 모두 아름다움을 만끽할수있는거리,와룡길,시도,용강로~송보아파트,,,2021-03-17,4840000,전라남도 광양시
초남공단길,34.935441,127.605262,34.922492,127.609965,가시,374,0.374,,싱그러움을 전해주는거리,초남공단길,시도,KST~선박출입국사무소,,,2021-03-17,4840000,전라남도 광양시
초남공단1길,34.931929,127.606341,34.925824,127.608671,모감주,153,0.672,,딱딱한 거리를 모감주로 인해 부드러워지는 거리,초남공단1길,시도,성천㈜~부일정밀,,,2021-03-17,4840000,전라남도 광양시
초남공단2길,34.927861,127.605173,34.928802,127.608081,모감주,56,0.232,,딱딱한 거리를 모감주로 인해 부드러워지는 거리,초남공단2길,시도,성원파이프㈜~한국산업㈜,,,2021-03-17,4840000,전라남도 광양시
초남공단3길,34.926045,127.609647,34.924887,127.606848,모감주,57,0.296,,딱딱한 거리를 모감주로 인해 부드러워지는 거리,초남공단3길,시도,삼보강업~서울산업,,,2021-03-17,4840000,전라남도 광양시
직동2길,34.964795,127.641162,34.955377,127.645938,벚,152,0.732,,세상을 눈꽃으로 뒤덮게 해주는 거리,직동2길,시도,~위생처리사업소,,,2021-03-17,4840000,전라남도 광양시
우산길,34.981568,127.589776,34.982451,127.589782,벚,16,0.152,,세상을 눈꽃으로 뒤덮게 해주는 거리,우산길,시도,광양교육청~내우마을우삼각,,,2021-03-17,4840000,전라남도 광양시
산림공원1길,37.692576,127.895959,37.691196,127.894774,벚나무,89,0.5,,녹음이 우수함,산림공원1길,대로,화양교~홍천병원 강변길,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
마지기로,37.689322,127.888185,37.702547,127.882577,잣나무,88,0.5,,녹음이 우수함,마지기로,대로,남산교~마지기고개 정상,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
오안로,37.660457,127.830797,37.665996,127.841960,플라타너스,52,0.3,,녹음이 우수함,오안로,대로,오안초교~구길 종점,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
설악로,37.718304,127.926106,37.639771,127.798943,플라타너스,8,0.1,,녹음이 우수함,설악로,대로,와동경계~며느리터널,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
설악로,37.697957,127.912896,37.736885,127.945732,이팝나무,563,3.4,,녹음이 우수함,설악로,대로,검율리~굴운리,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
석화로,37.691314,127.882682,37.695942,127.885881,벚나무,52,0.3,,녹음이 우수함,석화로,대로,한림중앙의원~(구)보령슈퍼사거리,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
석화로,37.695942,127.885881,37.696626,127.894807,은행나무,82,0.5,,녹음이 우수함,석화로,대로,(구)보령슈퍼사거리~형제주유소,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
석화로5길,37.696488,127.892090,37.698984,127.893334,은행나무,34,0.2,,녹음이 우수함,석화로5길,대로,역도체육관~우신아파트,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
희망로17길,37.696488,127.892090,37.694077,127.892302,벚나무,14,0.1,,녹음이 우수함,희망로17길,대로,역도체육관~귀뚜라미 보일러,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
홍천로,37.723197,127.917994,37.689506,127.874034,은행나무,299,1.8,,녹음이 우수함,홍천로,대로,구 야수교~헌병대,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
희망로,37.693445,127.882834,37.695089,127.895652,벚나무,58,0.3,,녹음이 우수함,희망로,대로,토우아파트~태림아파트,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
진리로,37.690530,127.889400,37.696164,127.888824,은행나무,20,0.1,,녹음이 우수함,진리로,대로,푸주옥~홍천군청,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
진리로,37.690530,127.889400,37.696164,127.888824,벚나무,1,0.1,,녹음이 우수함,진리로,대로,푸주옥~홍천군청,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
태학여내길,37.706823,127.908932,37.711235,127.907112,은행나무,196,1.2,,녹음이 우수함,태학여내길,대로,경찰서~여내골,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
홍천로3길,37.688584,127.879753,37.690830,127.880547,벚나무,4,0.1,,녹음이 우수함,홍천로3길,대로,터미널~도원식당,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
남산마을길3길,37.684189,127.883607,37.683315,127.880372,은행나무,66,0.4,,녹음이 우수함,남산마을길3길,대로,아이마트~엘리트학원,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
남산마을길3길,37.684189,127.883607,37.683315,127.880372,중국단풍,24,0.4,,녹음이 우수함,남산마을길3길,대로,아이마트~엘리트학원,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
연봉동로,37.685195,127.877803,37.683315,127.880372,벚나무,41,0.2,,녹음이 우수함,연봉동로,대로,한국전력공사~엘리트학원,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
꽃뫼로,37.689506,127.874034,37.691769,127.890574,벚나무,132,0.8,,녹음이 우수함,꽃뫼로,대로,헌병대~홍천관광호텔,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
너브내길,37.688022,127.879802,37.696028,127.896325,벚나무,159,1,,녹음이 우수함,너브내길,대로,홍천교~미진강변아파트,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
소옥개로,37.692612,127.895958,37.699692,127.901907,벚나무,101,0.6,,녹음이 우수함,소옥개로,대로,화양교~갈마곡교,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
갈마로11길,37.699671,127.901886,37.696360,127.904654,단풍나무,41,0.2,,녹음이 우수함,갈마로11길,대로,갈마곡교~홍여중,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
갈마로11길,37.699671,127.901886,37.696360,127.904654,목련,16,0.2,,녹음이 우수함,갈마로11길,대로,갈마곡교~홍여중,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
갈마로11길,37.699671,127.901886,37.696360,127.904654,이팝나무,1,0.2,,녹음이 우수함,갈마로11길,대로,갈마곡교~홍여중,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
장전평로,37.682908,127.872516,37.680826,127.867134,플라타너스,35,0.2,,녹음이 우수함,장전평로,대로,무궁화공원~영서로합류점,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
영서로,37.686459,127.858591,37.673030,127.874584,플라타너스,10,0.1,,녹음이 우수함,영서로,대로,둔지사거리~삼마치터널,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
연봉중앙로,37.681111,127.872522,37.685934,127.884015,은행나무,13,0.6,,녹음이 우수함,연봉중앙로,대로,무궁화공원~LK호텔,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
연봉중앙로,37.681111,127.872522,37.685934,127.884015,중국단풍,106,0.6,,녹음이 우수함,연봉중앙로,대로,무궁화공원~LK호텔,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
연봉중앙로,37.681111,127.872522,37.685934,127.884015,벚나무,2,0.6,,녹음이 우수함,연봉중앙로,대로,무궁화공원~LK호텔,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
남산강변로,37.685934,127.884015,37.686751,127.878683,은행나무,12,0.1,,녹음이 우수함,남산강변로,대로,LK호텔~홍천교,033-430-2767,강원도 홍천군청,2020-01-22,4250000,강원도 홍천군
향남읍 행정리 462-1,37.125833,126.917222,37.125833,126.9150946,이팝나무,45,0.2,,이팝나무,향남읍 행정리 462-1,,향남읍 행정리 462-1,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
춘향로,35.422291,127.401653,35.422892,127.404455,왕벚나무,29,0,,양 옆 왕벚나무 식재 조성,,,한빛중 ~ 양우내안애,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
용성로,35.421432,127.399248,35.414366,127.386748,왕벚나무,31,0,,양 옆 왕벚나무 식재 조성,,,월미길 3가 ~ 농협하나로마트,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
춘향로,35.423373,127.392157,35.448145,127.370504,"칠엽수, 화살, 영산홍",12439,1.5,,"양 옆 칠엽수, 화살, 영산홍 식재 조성",,,롯데마트 ~ 서남대,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
월미길,35.424164,127.400795,35.425421,127.399722,"느티나무, 이팝나무, 칠자화, 체리세이지",13332,0.3,,"양 옆 느티나무, 이팝나무, 칠자화, 체리세이지 식재 조성",,,한빛중학교 앞,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
금동로,35.402357,127.372322,35.400974,127.370363,"이팝나무, 메타세콰이야",123,0.8,,"양 옆 이팝나무, 메타쉐콰이야 식재 조성",,,"남원초, 금동휴먼시아옆길",063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
가방뜰길,35.400784,127.370405,35.400453,127.367489,"느티나무, 왕벚나무",147,0.85,,"양 옆 느티나무, 왕벚나무 식재 조성",,,금동휴먼시아아파트 진입로,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
금동로,35.399653,127.373531,35.406617,127.372695,"자산홍, 산딸나무",696,0.7,,"양 옆 자산홍, 산딸나무 식재 조성",,,남원 남부교회~ 새마을금고,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로,35.402547,127.380738,35.432417,127.412407,느티나무,8,0,,양 옆 느티나무 식재 조성,,,광한루~누른대삼거리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
광천북길,35.390329,127.357965,35.420681,127.386447,"느티나무, 왕벚나무, 배롱나무",1438,4,,"양 옆 느티나무, 왕벚나무, 배롱나무 식재 조성",,,호경길 일원,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
남원여고중로길,35.408102,127.370357,35.412079,127.369797,왕벚나무,128,0.5,,양 옆 왕벚나무 식재 조성,,,남원여고~명지아파트,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
서부우회도로,35.445242,127.308266,35.310398,127.299967,배롱나무,277,0.2,,양 옆 배롱나무 식재 조성,,,서부우회도로(신정동~광치동),063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
교룡로,35.414731,127.376976,35.405027,127.361201,느티나무,10,0,,양 옆 느티나무 식재 조성,,,한국국토정보공사~신정치안센터,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
황산로(24호선),35.449552,127.484774,35.461845,127.595181,이팝나무,963,8.2,,양 옆 이팝나무 식재 조성,,황산로(24호선),여원치 ~ 인월면 경계,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
남천제방길,35.421996,127.522046,35.454989,127.561107,왕벚나무,1595,5.5,,양 옆 왕벚나무 식재 조성,,,행정마을 ~ 전촌마을,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
바래봉길,35.436209,127.530782,35.434219,127.547321,"이팝나무, 왕벚나무",385,3.4,,"양 옆 이팝나무, 왕벚나무 식재 조성",,,운봉농협 ~ 용산허브벨리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
가장길,35.410221,127.518074,35.421952,127.521916,왕벚나무,30,1.7,,양 옆 왕벚나무 식재 조성,,,가장마을 ~ 행정마을,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
운봉로,35.384567,127.505258,35.437177,127.526131,"왕벚나무, 대왕참나무",1107,6.5,,"양 옆 왕벚나무, 대왕참나무 식재 조성",,,고기삼거리 ~ 운봉교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
행정공안길,35.421863,127.522602,35.414219,127.529798,왕벚나무,128,1.1,2015,양 옆 왕벚나무 식재 조성,,,삼산교 ~ 용은교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
운봉로-고기간,35.436406,127.530808,35.403096,127.534227,"느티나무, 왕벚나무. 산수유, 패랭이, 산철쭉",16785,0.8,2017,"양 옆 느티나무, 왕벚나무, 산수유, 패랭이, 산철쭉 식재 조성",,,북천교차로~고기리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕과남길,35.506537,127.361721,35.504106,127.364152,"무궁화, 노각나무",393,1,,"양 옆 무궁화, 노각나무 식재 조성",,,율천교 ~ 3.1운동만세탑,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕오로,35.506537,127.361721,35.526732,127.358741,"은행나무, 배롱나무, 무궁화",361,1.2,,"양 옆 은행나무, 배롱나무, 무궁화 식재 조성",,,율천교 ~ 덕과면 고정리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕과남길,35.506537,127.361721,35.504067,127.359251,무궁화,108,1,2019,양 옆 무궁화 식재 조성,,,율천교 ~ 3.1운동만세탑,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕과로,35.526548,127.359095,35.548294,127.349668,"이팝나무, 배롱나무",168,1.3,2019,"양 옆 이팝나무, 배롱나무 식재 조성",,,고정리 ~ 덕동리 ~ 용산리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
혼불로,35.467525,127.336178,35.494672,127.322083,"이팝나무, 배롱나무",315,1.1,,"양 옆 이팝나무, 배롱나무 식재 조성",,,사매면삼거리~ 노봉마을 입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
대사로,35.491871,127.330541,35.477251,127.340745,배롱나무,308,1.4,,양 옆 배롱나무 식재 조성,,,서도길 ~ 인화마을,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
서도길,35.496771,127.335419,35.491865,127.330513,배롱나무,246,2.1,,양 옆 배롱나무 식재 조성,,,사매농기구센터 ~ 서도역입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
밤티재길,35.457486,127.369238,35.447292,127.373418,배롱나무,244,1.2,,양 옆 배롱나무 식재 조성,,,박석입구 ~ 밤티재 정상,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
소리길,35.395579,127.379443,35.408051,127.391915,"느티나무, 왕벚나무",401,1.5,,"양 옆 느티나무, 왕벚나무 식재 조성",,,승사교~동림교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
원천로(730호선),35.400189,127.376213,35.408162,127.412225,느티나무,62,0.57,,양 옆 느티나무 식재 조성,,원천로(730호선),산내음가든~주천교차로,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
용투산길,35.389368,127.363971,35.379163,127.340508,"왕벚나무, 살구나무",718,2.2,,"양 옆 왕벚나무, 살구나무 식재 조성",,,남원벽돌 ~ 용투산,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
함파우길,35.397038,127.390863,35.401078,127.389877,배롱나무,246,1.4,,양 옆 배롱나무 식재 조성,,,춘향테마파크진입로,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
쑥고개길,35.396902,127.379941,35.388835,127.388627,느티나무,10,0,2015,양 옆 느티나무 식재 조성,,,노암사거리~LPG충전소,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
산성길,35.421209,127.373273,35.432294,127.357318,이팝나무,222,0.25,,양 옆 이팝나무 식재 조성,,,도립요양원~교룡산성,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
광석길,35.435674,127.378154,35.440274,127.383394,"은행나무, 이팝나무",147,0.07,,"양 옆 은행, 이팝나무 식재 조성",,,에이원판넬~제1농공단지입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
서부로(17호선),35.395352,127.356196,35.441529,127.355748,배롱나무,780,5.2,,배롱나무,,서부로(17호선),조산지하차도~오성주유소,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
춘향로(17호선),35.395352,127.356196,35.422779,127.383625,"이팝나무, 칠엽수, 소나무",486,2.6,,"양 옆 이팝나무 , 칠엽수, 소나무 식재 조성",,춘향로(17호선),오성주유소~지리산주유소,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
충정로,35.427035,127.402626,35.429772,127.407205,"왕벚나무, 소나무",79,0.28,,"양 옆 왕벚나무, 소나무 식재 조성",,,코아루~의료원~회전교차로,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
광천남길,35.415709,127.375399,35.413901,127.374861,"이팝나무, 수양버들, 소나무, 영산홍",17277,0.45,2020,"양 옆 이팝나무, 수양버들, 소나무 , 영산홍 식재 조성",,,사직단 앞~  신역사교 옆,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
교룡로,35.404932,127.354950,35.413462,127.363482,이팝나무,17,1.2,2015,양 옆 이팝나무 식재 조성,,,신정도 29-7번지 일원,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
시청남길,35.415302,127.390387,35.418711,127.394753,은행나무,163,0.68,,양 옆 은행나무 식재 조성,,,축협시청점~도통아파트뒤,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
시청북길,35.416341,127.389417,35.417696,127.391795,은행나무,30,0.26,,양 옆 은행나무 식재 조성,,,시청3가~시청뒤공원,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
오들길,35.419172,127.403899,35.420659,127.402441,느티나무,91,0.42,,양 옆 느티나무 식재 조성,,,호반아파트 옆길,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
오들1길,35.418989,127.400064,35.420231,127.401646,"느티나무, 살구나무",94,0.54,,"양 옆 느티나무, 살구나무 식재 조성",,,부영5차~부영2차,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
오들2길,35.420743,127.402357,35.421897,127.403511,"느티나무, 살구나무",20,0.18,,"양 옆 느티나무, 살구나무 식재 조성",,,부영2차 옆길,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로,35.411319,127.393663,35.418366,127.402861,"은행나무, 느티나무, 왕벚나무, 살구나무",1900,7,,"양 옆 은행나무, 느티나무, 왕벚나무, 살구나무 식재 조성",,,담배연료공장~조산동,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
